EmpNo,EmpPU,MasterCustomerCode,JoiningDate,MasterProjectCode,ProjectType,Onsite_Offshore,RoleMapping,TotalExpInYears,AsOfDate
157275,UKDELY,BFSI03,11/15/2006,M205ME,P(M20),Offshore,4,19.07,2025-10-31
819861,USDELY,INSUR03,12/28/2022,L104IN,P(L10),Offshore,3,1.82,2025-10-31
106737,INADELY,INSUR01,06/08/2001,F520US,P(F52),Offshore,3,26.12,2025-10-31
1530842,UKDELY,BFSI03,07/20/2017,F520ME,P(F52),Onsite,5,9.6,2025-10-31
775981,UKDELY,BFSI03,02/09/2007,P407IN,P(P40),Offshore,7,20.99,2025-10-31
1456689,USDELY,BANK02,10/27/2011,N306UK,P(N30),Offshore,4,13.83,2025-10-31
906654,LADELY,BANK03,11/22/2000,U912AP,P(U91),Offshore,Subcon,26.8,2025-10-31
1490904,EURDELY,BFSI03,09/23/2022,D305IN,P(D30),Offshore,4,4.23,2025-10-31
654115,MEADELY,CAPMT02,08/09/2022,W114US,P(W11),Offshore,6,3.03,2025-10-31
1680614,INADELY,BFSI05,11/24/2024,S710IN,P(S71),Offshore,3,1.32,2025-10-31
1033497,UKDELY,INSUR02,06/21/2000,F520US,P(F52),Onsite,4,26.13,2025-10-31
1486325,ANZDELY,BFSI03,05/02/2015,D305ANZ,P(D30),Offshore,5,13.14,2025-10-31
1642512,UKDELY,BANK02,08/02/2016,P407AP,P(P40),Onsite,4,11.13,2025-10-31
158292,UKDELY,BFSI04,10/20/2003,T811AP,P(T81),Offshore,5,23.65,2025-10-31
1022458,LADELY,BANK03,06/08/2005,J802US,P(J80),Offshore,4,19.97,2025-10-31
1546061,INADELY,INSUR02,08/31/2007,H710HQ,P(H71),Onsite,5,16.78,2025-10-31
349114,INADELY,BFSI04,04/13/2020,C210ANZ,P(C21),Offshore,4,7.21,2025-10-31
224304,UKDELY,Others,06/06/2014,R609GL,P(R60),Onsite,4,9.74,2025-10-31
1245372,MEADELY,Others,05/04/2015,L104IN,P(L10),Offshore,5,9.81,2025-10-31
1611513,LADELY,WEALTH01,01/27/2005,J802EU,P(J80),Offshore,5,19.23,2025-10-31
1105181,USDELY,INSUR01,02/26/2011,R609IN,P(R60),Onsite,4,16.22,2025-10-31
637174,INADELY,INSUR03,07/12/2020,W114UK,P(W11),Offshore,3,5.9,2025-10-31
1706437,USDELY,WEALTH02,01/03/2013,G601US,P(G60),Onsite,4,12.99,2025-10-31
633482,EURDELY,BFSI05,08/16/2018,U912ME,P(U91),Onsite,7,6.06,2025-10-31
1710364,UKDELY,Others,02/11/2015,L104IN,P(L10),Onsite,3,10.43,2025-10-31
1113367,MEADELY,BANK02,05/20/2003,L104IN,P(L10),Onsite,4,23.89,2025-10-31
1790682,EURDELY,BFSI05,03/31/2015,S710ANZ,P(S71),Onsite,4,12.81,2025-10-31
938850,USDELY,BANK02,03/22/2025,F520IN,P(F52),Offshore,4,0.5,2025-10-31
63554,USDELY,BANK02,10/13/2023,V013HQ,P(V01),Offshore,6,3.71,2025-10-31
701465,UKDELY,BANK02,01/01/2020,B194GL,L(LEV),Offshore,6,6.22,2025-10-31
299909,EURDELY,WEALTH02,06/21/2024,U912EU,P(U91),Onsite,6,4.45,2025-10-31
1703978,APDELY,INSUR02,01/08/2003,Q508US,P(Q50),Offshore,4,23.7,2025-10-31
790261,ANZDELY,CAPMT02,07/11/2021,T811HQ,P(T81),Offshore,5,6.0,2025-10-31
1755535,EURDELY,BANK02,02/14/2020,R609US,P(R60),Onsite,4,7.4,2025-10-31
1804113,USDELY,CAPMT02,04/12/2000,W114GL,P(W11),Offshore,5,28.55,2025-10-31
1488463,USDELY,WEALTH02,08/29/2019,G601US,P(G60),Offshore,5,5.04,2025-10-31
1368846,MEADELY,BANK01,09/10/2017,Q508AP,P(Q50),Offshore,4,8.1,2025-10-31
1277264,ANZDELY,INSUR03,09/24/2016,L104LA,P(L10),Offshore,5,12.2,2025-10-31
70452,EURDELY,BFSI01,10/13/2017,W114UK,P(W11),Onsite,4,8.37,2025-10-31
279944,INADELY,CAPMT02,09/30/2014,T811IN,P(T81),Onsite,6,9.73,2025-10-31
256233,ANZDELY,BANK03,09/02/2012,V013IN,P(V01),Offshore,3,15.01,2025-10-31
1938068,EURDELY,BANK01,09/27/2010,W114GL,L(LEV),Onsite,4,13.64,2025-10-31
1825419,ANZDELY,INSUR02,09/22/2022,N306UK,P(N30),Offshore,6,3.5,2025-10-31
434112,ANZDELY,BFSI02,10/14/2011,J802LA,P(J80),Onsite,3,16.47,2025-10-31
535670,INADELY,BFSI01,09/04/2024,S710LA,P(S71),Offshore,3,0.5,2025-10-31
166982,USDELY,INSUR01,02/19/2023,E412UK,P(E41),Onsite,6,3.26,2025-10-31
278280,ANZDELY,INSUR01,08/06/2012,B194UK,P(B19),Offshore,4,15.43,2025-10-31
1941350,USDELY,Others,03/16/2003,G601ME,P(G60),Offshore,6,23.26,2025-10-31
809587,EURDELY,INSUR02,08/04/2004,J802LA,P(J80),Offshore,5,20.08,2025-10-31
1788556,USDELY,CAPMT02,07/02/2012,H710GL,P(H71),Offshore,3,12.27,2025-10-31
1571011,USDELY,INSUR03,08/06/2005,E412IN,P(E41),Onsite,5,22.41,2025-10-31
1244476,LADELY,BFSI01,03/19/2021,Q508EU,P(Q50),Offshore,5,5.43,2025-10-31
71333,APDELY,BFSI05,03/28/2001,E412ANZ,P(E41),Offshore,5,25.67,2025-10-31
825262,INADELY,BFSI04,01/20/2014,Q508ME,P(Q50),Offshore,4,14.42,2025-10-31
1152471,USDELY,WEALTH02,04/29/2024,H710GL,P(H71),Offshore,5,0.96,2025-10-31
1887402,INADELY,INSUR02,06/23/2017,D305LA,P(D30),Offshore,4,9.06,2025-10-31
774311,USDELY,INSUR03,12/31/2002,E412AP,P(E41),Offshore,6,21.32,2025-10-31
1461713,INADELY,BFSI03,04/05/2024,E412GL,P(E41),Offshore,4,1.06,2025-10-31
80484,ANZDELY,BANK02,09/12/2011,G601LA,P(G60),Offshore,5,13.91,2025-10-31
1336367,INADELY,CAPMT01,01/16/2017,R609ANZ,P(R60),Onsite,5,8.39,2025-10-31
1769327,INADELY,WEALTH02,12/03/2020,L104LA,P(L10),Offshore,6,5.96,2025-10-31
1334991,USDELY,INSUR03,05/13/2018,T811ME,B(BCH),Offshore,7,6.65,2025-10-31
1608970,USDELY,BFSI05,08/15/2022,U912US,P(U91),Offshore,4,1.88,2025-10-31
566801,USDELY,BANK03,09/06/2004,H710US,P(H71),Onsite,4,22.48,2025-10-31
986425,EURDELY,WEALTH02,12/28/2003,V013AP,P(V01),Offshore,5,24.74,2025-10-31
860719,USDELY,BFSI02,09/17/2011,J802ANZ,P(J80),Onsite,5,15.92,2025-10-31
716190,USDELY,CAPMT02,06/10/2019,H710HQ,P(H71),Offshore,5,5.34,2025-10-31
1175149,ANZDELY,BFSI04,05/26/2011,U912LA,P(U91),Offshore,3,17.13,2025-10-31
1529794,USDELY,BFSI01,10/02/2016,R609EU,P(R60),Offshore,5,12.32,2025-10-31
285107,APDELY,INSUR01,04/20/2011,F520HQ,P(F52),Offshore,5,17.69,2025-10-31
1335979,ANZDELY,WEALTH02,04/23/2012,W114GL,P(W11),Offshore,5,15.6,2025-10-31
1859407,APDELY,BFSI05,12/08/2002,C210LA,P(C21),Offshore,5,21.32,2025-10-31
190207,USDELY,WEALTH02,03/12/2009,B194US,P(B19),Offshore,5,19.42,2025-10-31
857953,USDELY,BFSI01,09/18/2015,T811AP,P(T81),Onsite,5,11.96,2025-10-31
1380712,USDELY,CAPMT02,01/19/2024,B194ME,P(B19),Onsite,3,4.03,2025-10-31
1246485,INADELY,BANK01,09/03/2024,E412EU,P(E41),Offshore,6,2.87,2025-10-31
481830,USDELY,BFSI04,02/29/2004,S710US,P(S71),Offshore,6,20.1,2025-10-31
1580802,LADELY,BFSI01,07/15/2020,L104LA,P(L10),Offshore,5,7.23,2025-10-31
1681491,USDELY,WEALTH01,05/03/2004,T811GL,P(T81),Offshore,5,23.41,2025-10-31
290308,EURDELY,BFSI04,03/12/2005,W114GL,P(W11),Offshore,5,19.8,2025-10-31
1907619,MEADELY,INSUR03,07/15/2023,E412ANZ,P(E41),Onsite,6,4.83,2025-10-31
1983272,USDELY,INSUR03,12/26/2000,W114EU,P(W11),Offshore,4,26.02,2025-10-31
1152913,USDELY,BANK01,08/29/2003,S710UK,P(S71),Offshore,4,22.44,2025-10-31
844117,USDELY,CAPMT01,06/06/2011,S710US,P(S71),Onsite,5,14.24,2025-10-31
1439234,INADELY,BFSI02,04/19/2002,J802EU,P(J80),Offshore,5,22.93,2025-10-31
291895,INADELY,BANK03,06/25/2017,M205ME,P(M20),Offshore,4,11.43,2025-10-31
829537,ANZDELY,BANK02,08/06/2018,G601ME,P(G60),Offshore,5,5.87,2025-10-31
491143,USDELY,INSUR01,05/19/2000,V013UK,P(V01),Offshore,4,23.8,2025-10-31
1245706,UKDELY,BFSI03,10/16/2021,E412IN,P(E41),Offshore,4,3.69,2025-10-31
1907223,INADELY,BFSI05,10/31/2013,E412GL,P(E41),Offshore,6,13.79,2025-10-31
1237267,UKDELY,WEALTH01,12/28/2004,G601ANZ,P(G60),Offshore,3,20.06,2025-10-31
252206,INADELY,INSUR02,10/30/2012,D305ME,P(D30),Offshore,Subcon,15.15,2025-10-31
484069,APDELY,INSUR02,05/24/2001,J802UK,P(J80),Offshore,6,27.69,2025-10-31
1299327,MEADELY,CAPMT02,08/13/2012,Q508IN,P(Q50),Offshore,2,16.02,2025-10-31
1735728,INADELY,BFSI02,02/26/2022,Q508ANZ,P(Q50),Offshore,4,6.36,2025-10-31
1336829,ANZDELY,BANK02,04/08/2025,L104ME,P(L10),Onsite,5,3.8,2025-10-31
781312,MEADELY,WEALTH02,04/08/2010,T811HQ,P(T81),Offshore,6,17.92,2025-10-31
728327,MEADELY,Others,12/26/2014,C210ANZ,P(C21),Onsite,4,10.47,2025-10-31
1400918,ANZDELY,WEALTH02,04/08/2012,H710HQ,B(BCH),Offshore,4,14.55,2025-10-31
1941153,ANZDELY,INSUR01,11/05/2010,K903AP,P(K90),Offshore,5,17.2,2025-10-31
1368455,INADELY,BANK02,06/23/2010,S710IN,P(S71),Offshore,4,15.87,2025-10-31
1012566,USDELY,INSUR01,05/22/2005,Q508UK,P(Q50),Offshore,6,19.75,2025-10-31
1611150,MEADELY,BANK02,02/13/2018,S710HQ,P(S71),Onsite,2,6.62,2025-10-31
1356847,EURDELY,CAPMT02,05/01/2004,C210US,P(C21),Offshore,5,21.31,2025-10-31
481796,ANZDELY,BFSI02,12/12/2023,D305UK,P(D30),Offshore,4,4.69,2025-10-31
12511,INADELY,INSUR03,08/24/2006,C210ME,P(C21),Offshore,5,18.22,2025-10-31
1439488,APDELY,BFSI01,12/25/2007,B194HQ,P(B19),Offshore,5,18.79,2025-10-31
140115,APDELY,BFSI03,12/27/2010,V013US,P(V01),Offshore,5,14.13,2025-10-31
323010,INADELY,Others,10/09/2020,C210AP,P(C21),Onsite,6,7.26,2025-10-31
37759,USDELY,Others,01/16/2016,E412GL,P(E41),Offshore,3,9.94,2025-10-31
1737607,USDELY,Others,07/27/2011,B194EU,P(B19),Offshore,4,14.42,2025-10-31
1606564,INADELY,INSUR02,07/13/2019,L104EU,P(L10),Onsite,3,8.73,2025-10-31
937485,INADELY,BFSI01,03/21/2025,K903ANZ,P(K90),Offshore,5,2.95,2025-10-31
630372,APDELY,WEALTH02,03/15/2006,M205US,P(M20),Offshore,7,20.07,2025-10-31
1174335,INADELY,BFSI04,08/24/2021,L104EU,P(L10),Offshore,5,2.69,2025-10-31
772298,INADELY,BFSI03,09/13/2016,K903AP,P(K90),Offshore,4,11.63,2025-10-31
573993,EURDELY,BFSI03,05/13/2013,D305EU,P(D30),Offshore,6,12.66,2025-10-31
1294803,INADELY,CAPMT01,11/10/2007,V013US,P(V01),Offshore,5,19.8,2025-10-31
1333110,UKDELY,BFSI05,10/26/2001,D305ANZ,P(D30),Offshore,5,22.73,2025-10-31
1615634,INADELY,CAPMT02,08/19/2002,E412GL,P(E41),Offshore,4,25.47,2025-10-31
1232212,USDELY,WEALTH02,01/01/2020,S710US,P(S71),Onsite,5,5.25,2025-10-31
782364,ANZDELY,BFSI05,08/22/2016,C210EU,P(C21),Offshore,5,11.0,2025-10-31
1916638,INADELY,WEALTH02,02/12/2017,T811ME,P(T81),Offshore,4,8.78,2025-10-31
420164,INADELY,BFSI02,06/27/2010,Q508UK,P(Q50),Offshore,4,17.04,2025-10-31
840815,EURDELY,BFSI04,05/19/2004,G601AP,P(G60),Offshore,5,20.84,2025-10-31
1180192,INADELY,INSUR02,12/04/2009,K903ANZ,P(K90),Offshore,7,14.95,2025-10-31
772446,INADELY,BFSI02,06/13/2008,H710EU,P(H71),Offshore,5,17.75,2025-10-31
1143672,INADELY,BFSI01,11/26/2006,E412ME,P(E41),Offshore,4,18.08,2025-10-31
1054667,UKDELY,WEALTH01,08/24/2003,P407GL,P(P40),Offshore,3,23.32,2025-10-31
345680,EURDELY,CAPMT01,12/26/2005,G601AP,P(G60),Offshore,5,18.41,2025-10-31
431727,INADELY,INSUR02,12/10/2021,V013ME,P(V01),Offshore,5,3.11,2025-10-31
1379926,MEADELY,INSUR01,04/07/2005,G601IN,P(G60),Offshore,4,21.42,2025-10-31
514552,INADELY,BFSI02,04/08/2010,R609AP,P(R60),Offshore,3,17.93,2025-10-31
1768899,ANZDELY,BFSI01,01/26/2021,M205US,P(M20),Offshore,5,7.27,2025-10-31
1300139,INADELY,WEALTH01,10/13/2003,S710AP,P(S71),Offshore,6,23.43,2025-10-31
485686,ANZDELY,CAPMT02,06/03/2009,N306HQ,P(N30),Offshore,Subcon,19.66,2025-10-31
128170,APDELY,WEALTH01,03/25/2004,E412GL,P(E41),Offshore,5,21.75,2025-10-31
1817071,UKDELY,Others,04/02/2000,U912HQ,P(U91),Onsite,3,26.17,2025-10-31
1726272,UKDELY,BFSI03,12/24/2017,W114IN,P(W11),Onsite,5,9.96,2025-10-31
1644372,USDELY,CAPMT01,04/27/2024,S710LA,P(S71),Offshore,4,0.5,2025-10-31
1619021,INADELY,BANK03,09/15/2021,T811HQ,P(T81),Offshore,6,4.69,2025-10-31
808612,ANZDELY,BANK01,03/13/2007,P407ME,P(P40),Offshore,4,17.91,2025-10-31
1140505,UKDELY,BFSI02,05/10/2025,F520US,P(F52),Offshore,6,0.5,2025-10-31
184156,APDELY,Others,02/15/2022,F520US,P(F52),Offshore,6,4.98,2025-10-31
1407000,INADELY,BANK01,06/28/2000,F520ME,P(F52),Onsite,4,27.65,2025-10-31
43664,USDELY,BFSI04,06/14/2011,V013US,P(V01),Onsite,5,17.42,2025-10-31
1567629,USDELY,INSUR01,12/10/2016,N306ANZ,P(N30),Offshore,4,11.69,2025-10-31
1423700,UKDELY,BFSI02,11/30/2009,P407US,P(P40),Offshore,4,16.29,2025-10-31
1462699,MEADELY,CAPMT02,03/20/2007,U912EU,P(U91),Onsite,5,17.4,2025-10-31
1119225,UKDELY,BFSI02,03/03/2001,W114GL,P(W11),Offshore,5,27.25,2025-10-31
916148,UKDELY,BFSI05,01/01/2001,C210AP,P(C21),Offshore,4,26.22,2025-10-31
1037147,LADELY,BANK01,07/27/2017,G601GL,P(G60),Offshore,Subcon,11.01,2025-10-31
749402,MEADELY,BFSI03,05/31/2000,J802ANZ,P(J80),Offshore,6,24.85,2025-10-31
1507883,EURDELY,INSUR02,07/20/2013,E412ME,P(E41),Offshore,5,15.36,2025-10-31
1763713,INADELY,INSUR03,05/08/2008,U912AP,P(U91),Offshore,4,16.1,2025-10-31
1486801,USDELY,BFSI04,11/25/2021,K903EU,P(K90),Offshore,6,2.61,2025-10-31
697191,USDELY,BANK01,10/10/2003,V013GL,P(V01),Offshore,3,22.74,2025-10-31
1710990,EURDELY,WEALTH02,10/10/2004,M205EU,P(M20),Onsite,5,22.87,2025-10-31
136868,ANZDELY,INSUR03,06/13/2004,T811GL,P(T81),Offshore,4,21.5,2025-10-31
466151,ANZDELY,WEALTH01,12/11/2005,U912US,P(U91),Onsite,5,18.43,2025-10-31
1294638,USDELY,BFSI05,10/19/2020,S710IN,P(S71),Offshore,5,3.71,2025-10-31
107186,ANZDELY,BFSI04,09/05/2009,M205GL,P(M20),Onsite,4,18.86,2025-10-31
1936892,USDELY,BFSI05,05/04/2004,W114ME,P(W11),Offshore,5,24.26,2025-10-31
707213,USDELY,BFSI04,04/20/2006,T811LA,P(T81),Onsite,5,18.5,2025-10-31
932910,MEADELY,BANK02,08/27/2007,R609HQ,P(R60),Offshore,5,21.31,2025-10-31
1978269,USDELY,BFSI04,03/20/2005,H710EU,P(H71),Offshore,5,22.68,2025-10-31
519390,INADELY,WEALTH02,03/10/2009,J802ME,P(J80),Offshore,4,16.69,2025-10-31
470045,ANZDELY,BANK02,05/02/2006,K903US,P(K90),Offshore,3,19.84,2025-10-31
389242,LADELY,Others,07/26/2008,P407ME,P(P40),Onsite,5,20.36,2025-10-31
447586,MEADELY,BANK02,01/13/2000,B194GL,P(B19),Offshore,5,27.33,2025-10-31
218219,ANZDELY,BANK03,03/01/2007,H710EU,P(H71),Offshore,5,20.02,2025-10-31
92434,ANZDELY,BFSI01,05/10/2008,L104GL,P(L10),Offshore,Subcon,19.54,2025-10-31
1469860,INADELY,WEALTH02,07/27/2001,V013LA,P(V01),Onsite,Subcon,26.83,2025-10-31
530455,LADELY,BFSI04,02/02/2012,N306LA,P(N30),Offshore,2,12.58,2025-10-31
337295,UKDELY,BFSI05,03/01/2001,J802ANZ,P(J80),Offshore,5,27.64,2025-10-31
1247792,INADELY,BFSI04,11/30/2001,U912GL,P(U91),Onsite,5,24.81,2025-10-31
87511,ANZDELY,WEALTH01,01/31/2001,N306IN,P(N30),Offshore,5,26.14,2025-10-31
1722284,INADELY,BFSI04,11/29/2011,N306HQ,P(N30),Offshore,4,13.33,2025-10-31
229164,UKDELY,BFSI05,11/01/2023,T811UK,P(T81),Offshore,2,0.74,2025-10-31
209906,UKDELY,CAPMT02,02/28/2007,B194ANZ,P(B19),Offshore,5,18.43,2025-10-31
279002,INADELY,BFSI04,05/20/2012,J802GL,P(J80),Offshore,4,13.43,2025-10-31
1579674,ANZDELY,BFSI01,12/02/2007,E412ANZ,P(E41),Offshore,4,17.36,2025-10-31
1341381,LADELY,INSUR02,11/15/2015,R609ME,P(R60),Offshore,3,10.62,2025-10-31
440727,MEADELY,BFSI02,09/04/2004,V013IN,P(V01),Offshore,5,22.28,2025-10-31
557294,LADELY,BFSI03,11/02/2007,H710US,P(H71),Onsite,6,20.43,2025-10-31
1272875,EURDELY,INSUR03,08/29/2005,P407AP,P(P40),Onsite,4,19.25,2025-10-31
1392394,INADELY,BANK02,11/13/2022,P407EU,P(P40),Offshore,5,4.85,2025-10-31
799757,USDELY,BANK02,04/28/2005,C210ANZ,P(C21),Offshore,5,23.48,2025-10-31
911112,UKDELY,INSUR02,11/09/2014,F520US,P(F52),Onsite,4,13.78,2025-10-31
1787757,USDELY,WEALTH01,02/25/2018,S710IN,P(S71),Offshore,Subcon,9.3,2025-10-31
1919233,LADELY,INSUR03,12/10/2021,W114ME,P(W11),Offshore,4,2.29,2025-10-31
176621,MEADELY,WEALTH01,12/18/2006,M205ME,P(M20),Offshore,5,19.75,2025-10-31
1654081,EURDELY,BANK03,02/09/2009,W114HQ,P(W11),Offshore,4,15.87,2025-10-31
875208,APDELY,INSUR01,12/19/2001,S710ANZ,P(S71),Offshore,5,26.77,2025-10-31
1125629,INADELY,CAPMT02,05/24/2008,V013ME,P(V01),Offshore,6,19.03,2025-10-31
746455,INADELY,CAPMT01,05/14/2012,H710GL,P(H71),Offshore,5,13.0,2025-10-31
349751,LADELY,CAPMT02,09/17/2015,L104UK,P(L10),Offshore,6,11.14,2025-10-31
899974,INADELY,BANK03,02/27/2020,P407AP,P(P40),Offshore,5,4.78,2025-10-31
1766919,INADELY,INSUR01,11/21/2005,H710GL,P(H71),Offshore,4,21.22,2025-10-31
1681777,USDELY,BANK02,08/25/2022,G601GL,P(G60),Offshore,6,3.33,2025-10-31
94319,INADELY,BFSI01,11/03/2001,V013UK,P(V01),Offshore,4,23.55,2025-10-31
821593,APDELY,BANK02,03/10/2005,R609HQ,P(R60),Onsite,3,22.92,2025-10-31
1707039,UKDELY,CAPMT01,12/31/2008,U912LA,P(U91),Onsite,5,15.76,2025-10-31
321557,INADELY,INSUR02,04/25/2001,G601EU,P(G60),Offshore,6,23.01,2025-10-31
778445,USDELY,BFSI05,01/21/2020,U912GL,P(U91),Offshore,3,4.96,2025-10-31
498099,INADELY,INSUR03,05/08/2017,Q508AP,P(Q50),Onsite,4,10.28,2025-10-31
711095,USDELY,BANK03,01/11/2012,F520GL,P(F52),Offshore,5,16.75,2025-10-31
947121,INADELY,INSUR03,10/06/2011,T811GL,P(T81),Offshore,5,14.26,2025-10-31
243509,USDELY,INSUR02,10/25/2015,S710ANZ,P(S71),Offshore,6,8.77,2025-10-31
650115,USDELY,BANK02,01/12/2016,C210AP,P(C21),Offshore,5,12.42,2025-10-31
1900264,UKDELY,BANK03,08/05/2006,N306LA,P(N30),Offshore,5,21.85,2025-10-31
1607773,UKDELY,BANK02,02/18/2024,P407IN,P(P40),Offshore,4,4.07,2025-10-31
833562,APDELY,BFSI01,03/09/2000,T811US,N(TRN),Offshore,5,27.95,2025-10-31
30045,USDELY,CAPMT01,12/07/2022,V013GL,P(V01),Offshore,5,4.22,2025-10-31
1776346,ANZDELY,BANK02,12/25/2011,Q508AP,P(Q50),Offshore,4,14.53,2025-10-31
1185088,ANZDELY,BANK02,11/05/2022,L104GL,P(L10),Offshore,5,4.98,2025-10-31
546694,INADELY,INSUR03,11/17/2017,N306ANZ,P(N30),Offshore,Subcon,10.25,2025-10-31
625141,LADELY,INSUR03,03/21/2013,K903HQ,P(K90),Offshore,5,13.92,2025-10-31
1158067,APDELY,INSUR03,11/24/2001,W114US,P(W11),Offshore,5,25.57,2025-10-31
472564,USDELY,BFSI02,04/20/2021,P407ME,P(P40),Offshore,6,5.61,2025-10-31
1975516,ANZDELY,INSUR03,04/14/2003,R609HQ,P(R60),Offshore,2,23.49,2025-10-31
1733122,LADELY,BANK03,10/30/2004,F520AP,P(F52),Offshore,5,22.74,2025-10-31
1750300,INADELY,INSUR01,03/15/2017,G601IN,P(G60),Offshore,4,7.82,2025-10-31
1592379,ANZDELY,WEALTH02,04/21/2000,N306EU,P(N30),Offshore,4,25.03,2025-10-31
33018,UKDELY,BFSI01,07/15/2013,G601IN,P(G60),Offshore,7,11.45,2025-10-31
1146303,UKDELY,BFSI01,03/26/2023,E412IN,P(E41),Offshore,7,1.73,2025-10-31
1007974,ANZDELY,INSUR01,03/26/2015,H710EU,P(H71),Offshore,5,9.57,2025-10-31
1783258,LADELY,BFSI02,03/23/2017,R609HQ,P(R60),Onsite,4,8.47,2025-10-31
1578749,LADELY,INSUR02,04/11/2021,C210LA,P(C21),Offshore,4,4.29,2025-10-31
823815,MEADELY,BFSI01,08/18/2013,B194UK,P(B19),Onsite,4,13.5,2025-10-31
292269,USDELY,INSUR01,10/02/2009,P407UK,P(P40),Onsite,4,18.1,2025-10-31
1086785,UKDELY,BFSI01,06/13/2000,H710ME,P(H71),Offshore,6,26.08,2025-10-31
1618324,INADELY,BFSI03,03/27/2002,Q508LA,P(Q50),Onsite,4,25.44,2025-10-31
246141,ANZDELY,WEALTH01,06/23/2020,G601LA,P(G60),Onsite,5,6.23,2025-10-31
310663,EURDELY,CAPMT02,12/24/2008,J802GL,P(J80),Offshore,5,17.95,2025-10-31
728227,USDELY,BANK02,10/10/2022,D305UK,P(D30),Offshore,4,3.02,2025-10-31
79263,MEADELY,CAPMT02,09/21/2016,Q508EU,P(Q50),Offshore,6,11.5,2025-10-31
936383,EURDELY,INSUR01,03/12/2013,J802GL,P(J80),Onsite,3,14.13,2025-10-31
1398718,USDELY,WEALTH02,12/21/2016,V013AP,P(V01),Offshore,5,10.88,2025-10-31
1729284,MEADELY,BANK03,07/28/2008,J802HQ,P(J80),Onsite,5,15.87,2025-10-31
1065165,ANZDELY,BFSI05,06/11/2006,N306HQ,P(N30),Onsite,5,20.33,2025-10-31
305398,EURDELY,BFSI05,11/05/2023,Q508US,P(Q50),Offshore,4,1.34,2025-10-31
1201839,USDELY,WEALTH02,06/18/2012,E412HQ,P(E41),Offshore,Subcon,15.2,2025-10-31
1171592,APDELY,BFSI01,09/29/2004,E412GL,P(E41),Offshore,4,21.84,2025-10-31
1991920,USDELY,BFSI05,08/18/2000,E412HQ,P(E41),Offshore,4,24.62,2025-10-31
837987,EURDELY,INSUR01,01/13/2019,F520EU,P(F52),Offshore,4,8.48,2025-10-31
869154,USDELY,BFSI04,01/01/2023,E412LA,P(E41),Offshore,5,3.91,2025-10-31
1373137,USDELY,BFSI05,03/07/2002,W114ANZ,P(W11),Onsite,6,23.16,2025-10-31
1899106,USDELY,BFSI04,10/19/2018,G601IN,P(G60),Offshore,4,10.03,2025-10-31
918348,UKDELY,WEALTH02,12/28/2001,T811AP,P(T81),Offshore,5,25.66,2025-10-31
1412307,LADELY,BANK03,04/28/2004,R609US,P(R60),Offshore,4,20.43,2025-10-31
1460765,APDELY,Others,10/20/2000,R609ANZ,P(R60),Offshore,Subcon,25.74,2025-10-31
1806814,MEADELY,BFSI03,04/23/2000,G601AP,P(G60),Offshore,5,26.76,2025-10-31
888603,USDELY,BFSI04,03/26/2022,J802AP,P(J80),Offshore,4,1.95,2025-10-31
1288278,ANZDELY,BFSI01,05/24/2007,Q508LA,P(Q50),Onsite,4,19.55,2025-10-31
171936,INADELY,WEALTH01,12/29/2005,B194LA,P(B19),Offshore,4,22.38,2025-10-31
87092,EURDELY,BFSI03,06/03/2006,W114IN,P(W11),Onsite,5,22.2,2025-10-31
1581329,ANZDELY,WEALTH01,04/08/2002,L104HQ,P(L10),Onsite,6,25.94,2025-10-31
1634939,ANZDELY,BFSI02,02/24/2008,W114US,P(W11),Offshore,5,18.21,2025-10-31
1865486,LADELY,BFSI02,12/09/2024,U912US,P(U91),Offshore,Subcon,2.67,2025-10-31
41769,APDELY,Others,03/25/2009,E412HQ,P(E41),Offshore,5,18.18,2025-10-31
1811829,APDELY,WEALTH02,08/19/2021,J802IN,P(J80),Onsite,4,2.84,2025-10-31
946935,ANZDELY,WEALTH02,02/18/2000,J802EU,P(J80),Offshore,3,27.12,2025-10-31
1333140,APDELY,BFSI02,02/06/2011,W114US,P(W11),Offshore,Subcon,14.16,2025-10-31
813882,USDELY,BFSI01,05/15/2024,B194HQ,P(B19),Onsite,4,1.9,2025-10-31
1551045,MEADELY,BANK02,01/07/2018,W114EU,P(W11),Offshore,5,8.95,2025-10-31
908141,EURDELY,BFSI03,09/03/2001,K903AP,P(K90),Offshore,5,25.17,2025-10-31
1469445,INADELY,BFSI04,05/13/2005,W114EU,B(BCH),Onsite,7,19.8,2025-10-31
906898,APDELY,Others,03/16/2015,C210EU,P(C21),Offshore,5,10.26,2025-10-31
1974441,INADELY,INSUR01,03/31/2010,E412UK,P(E41),Offshore,5,15.89,2025-10-31
471853,USDELY,CAPMT02,08/21/2000,V013LA,P(V01),Offshore,5,26.88,2025-10-31
203122,INADELY,BFSI02,11/23/2014,M205ME,P(M20),Onsite,4,10.29,2025-10-31
704226,UKDELY,INSUR03,01/11/2005,M205ANZ,P(M20),Offshore,4,23.28,2025-10-31
268843,INADELY,WEALTH02,12/02/2009,V013HQ,P(V01),Offshore,3,18.75,2025-10-31
1474080,ANZDELY,BFSI04,04/19/2005,H710UK,P(H71),Offshore,4,23.01,2025-10-31
1875244,INADELY,WEALTH02,05/23/2022,L104GL,P(L10),Offshore,5,2.79,2025-10-31
